№;ЗВО;Оцінка якості науково-педагогічного потенціалу Iнп;Оцінка якості навчання IН;Оцінка міжнародного визнання IМВ;Оцінка інтегрального показника діяльності ЗВО. IЗ
151;Київський національний університет театру. кіно і телебачення імені І.К. Карпенка-Карого;8.34;3.70;1.38;13.42
152;Харківська державна академія культури;7.10;4.33;1.98;13.41
153;Національний університет Чернігівський колегіум імені Т.Г. Шевченка;7.54;4.77;1.09;13.40
154;Дніпровський державний технічний університет;6.96;5.31;1.12;13.39
155;Полтавський національний педагогічний університет імені В.Г. Короленка;6.31;5.68;1.38;13.37
156;Харківська державна академія фізичної культури;8.04;4.05;1.13;13.22
157;Криворізький державний педагогічний університет;6.51;5.24;1.46;13.21
158;Українська академія друкарства;8.08;4.73;0.35;13.16
159;Львівський національний університет ветеринарної медицини та біотехнологій імені С. З. Ґжицького;7.82;4.51;0.80;13.13
160;Дніпровський медичний інститут традиційної і нетрадиційної медицини;7.05;4.34;1.71;13.10
161;Український Католицький Університет;5.20;6.80;1.08;13.08
162;Міжрегіональна Академія управління персоналом;7.64;4.04;1.14;12.82
163;Донецький державний університет управління;6.89;4.37;1.55;12.81
164;Класичний приватний університет;6.78;4.05;1.94;12.77
165;Міжнародний університет фінансів;8.23;4.16;0.36;12.75
166;Львівська національна академія мистецтв;6.83;4.38;1.51;12.72
167;Донбаський державний педагогічний університет;6.85;4.49;1.36;12.70
168;Харківський гуманітарний університет Народна українська академія;5.67;4.67;2.34;12.68
169;Міжнародний економіко-гуманітарний університет імені академіка Степана Дем'янчука;7.27;4.24;1.07;12.57
170;Мукачівський державний університет;6.83;4.23;1.45;12.50
171;Харківська державна академія дизайну і мистецтв;7.01;4.40;1.06;12.48
172;Глухівський національний педагогічний університет імені Олександра Довженка;5.80;5.59;1.06;12.45
173;Ніжинський державний університет імені Миколи Гоголя;6.69;4.79;0.87;12.35
174;Державний університет інфраструктури та технологій;7.00;4.37;0.91;12.29
175;Хмельницький університет управління та права;6.64;4.24;1.39;12.27
176;Київський університет права Національної академії наук України;6.95;4.18;1.11;12.24
177;Рівненський державний гуманітарний університет;6.20;4.68;1.33;12.21
178;Відкритий міжнародний університет розвитку людини «Україна»;7.06;4.18;0.91;12.15
179;Міжнародний науково-технічний університет імені академіка Юрія Бугая;7.28;4.16;0.67;12.11
180;Луганський національний аграрний університет;6.68;4.31;1.10;12.09
181;Дніпропетровський державний університет внутрішніх справ;6.29;4.29;1.34;11.92
182;Донбаська національна академія будівництва і архітектури;6.56;4.28;1.06;11.90
183;Херсонська державна морська академія;6.22;4.28;1.35;11.85
184;Одеська державна академія технічного регулювання та якості;6.20;4.08;1.44;11.72
185;Академія праці. соціальних відносин і туризму;6.56;4.12;0.99;11.67
186;Хмельницька гуманітарно-педагогічна академія;6.29;4.32;0.96;11.57
187;Одеський державний університет внутрішніх справ;6.51;4.08;0.92;11.51
188;Закарпатський угорський інститут імені Ференца Ракоці ІІ;5.98;4.72;0.78;11.48
189;Харківська гуманітарно-педагогічна академія;5.86;4.33;1.24;11.43
190;Ізмаїльський державний гуманітарний університет;6.00;4.28;1.13;11.41
191;Київська державна академія декоративно-прикладного мистецтва і дизайну імені Михайла Бойчука;5.80;4.19;1.36;11.35
192;Одеський державний аграрний університет;5.95;4.60;0.78;11.33
193;Придніпровська державна академія фізичної культури і спорту;5.63;4.31;1.32;11.26
194;Львівський інститут економіки і туризму;5.36;4.63;1.25;11.24
195;Закарпатська академія мистецтв;4.99;4.25;1.96;11.20
196;Європейський університет;5.68;4.38;1.06;11.12
197;Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка;5.24;4.51;1.30;11.05
198;Університет Короля Данила;5.65;4.38;0.97;11.00
199;Донецький юридичний інститут;5.50;4.24;1.21;10.95
200;Дніпровський гуманітарний університет;5.78;4.25;0.80;10.83
