№;НЗ;Оцінка якості науково-педагогічного потенціалу Iнп;Оцінка якості навчання IН;Оцінка міжнародного визнання IМВ;Оцінка інтегрального показника діяльності ВНЗ. IЗ
30;Київський національний університет технологій та дизайну;"11.95871";"10.55172";"8.34172";30.85214
31;Одеський національний політехнічний університет;"8.57106";"7.25509";"14.06076";29.88691
32;Івано-Франківський національний технічний університет нафти і газу;"9.80736";"7.16556";"12.80114";29.77407
33;Одеський національний економічний університет;"8.10882";"14.45852";"7.07737";29.64471
34;Тернопільський національний технічний університет імені Івана Пулюя;"10.64770";"9.54711";"9.32938";29.52420
35;Харківський національний медичний університет;"14.04819";"7.23109";"8.18841";29.46769
36;Ужгородський національний університет;"10.88345";"8.97491";"9.38112";29.23947
37;Університет банківської справи НБУ;"7.79203";"14.53504";"6.79511";29.12218
38;Одеська національна академія харчових технологій;"13.86370";"6.43520";"8.37087";28.66978
39;Тернопільський національний економічний університет;"7.22920";"13.62647";"7.05900";27.91467
40;Національний університет Одеська юридична академія;"8.75872";"10.48302";"8.66628";27.90802
41;Східноукраїнський національний університет імені Володимира Даля;"8.31958";"7.32789";"12.05684";27.70431
42;Прикарпатський національний університет імені Василя Стефаника;"8.70370";"8.14253";"10.75924";27.60547
43;Київський національний університет будівництва і архітектури;"12.22118";"8.28787";"7.01655";27.52560
44;Чорноморський національний університет імені Петра Могили;"8.08950";"10.37795";"8.83173";27.29918
45;Одеський національний медичний університет;"13.30106";"6.47274";"7.47618";27.24998
46;Хмельницький національний університет;"8.72030";"6.07744";"12.36910";27.16684
47;Запорізький національний технічний університет;"8.86740";"7.75744";"9.74029";26.36512
48;Львівський національний медичний університет імені Данила Галицького;"12.06688";"6.20810";"7.82416";26.09913
49;Національний транспортний університет;"8.19188";"8.12379";"9.43282";25.74849
50;Українська медична стоматологічна академія;"11.68512";"5.92248";"8.02454";25.63214
51;Харківський національний економічний університет імені Семена Кузнеця;"7.24108";"10.06778";"8.07870";25.38756
52;Буковинський державний медичний університет;"11.76930";"5.52353";"8.04213";25.33496
53;Дніпропетровська медична академія;"13.64296";"5.53216";"6.13473";25.30985
54;Центральноукраїнський національний технічний університет;"12.20507";"8.83886";"4.20195";25.24589
55;Кременчуцький національний університет імені Михайла Остроградського;"8.09784";"6.25800";"10.70857";25.06441
56;Південноукраїнський національний педагогічний університет імені К.Д. Ушинського;"8.91468";"7.16766";"8.36391";24.44625
57;Українська інженерно-педагогічна академія;"10.71846";"7.63349";"6.07576";24.42770
58;Харківський національний автомобільно-дорожній університет;"11.00723";"6.29776";"7.07906";24.38405
59;Університет економіки та права КРОК;"7.63135";"10.71167";"5.82953";24.17255
60;Харківський національний технічний університет сільського господарства імені Петра Василенка;"11.74906";"7.38898";"4.82758";23.96562
61;Запорізький державний медичний університет;"10.48202";"5.41944";"8.04334";23.94480
62;Івано-франківський національний медичний університет;"12.10333";"6.21769";"5.51212";23.83315
63;Національна академія керівних кадрів культури і мистецтв;"8.67787";"9.60962";"5.46740";23.75490
64;Луганський національний університет імені Тараса Шевченка;"7.40218";"10.48391";"5.86542";23.75151
65;Дніпропетровський національний університет залізничного транспорту імені академіка В. Лазаряна;"7.94747";"6.77324";"9.01574";23.73644
66;Миколаївський національний аграрний університет;"10.03159";"9.76655";"3.91143";23.70957
67;Національний університет водного господарства та природокористування;"10.05126";"7.42412";"6.18065";23.65603
